Title,main bahan,Ingredients,Steps,Loves,URL
Bakwan sayuran n udang,Udang,1 bks toge (Rp. 2000)--2 buah wortel iris korek api--1 batang daun bawang (sy lupa beli daun bawang 😁)--Sckpnya udang--Bumbu halus :--1/4 sdt lada--3-4 bawang putih--Sckpnya garam--10 sdm terigu--2 sdm tepung beras--Sckpnya air--,"Campur toge, wortel dan daun bawang aduk rata--Cuci bersih udang buang kepalanya, kulit dan buntutnya jgn dibuang--Campur terigu dan tepung beras beri air sckpnya aduk rata dgn kekentalan sedang masukan jg bumbu halus,garam dan kaldu bubuk aduk rata (icip rasa)--Masukan sayuran ke tepung sckpnya dl (kira2)--Panaskan minyak agak banyak....bikin versi bundar masukan jg centong sayur ke minyak sampai bnr2 panas--Setelah minyak dan centong panas angkat centong sisakan sedikit minyak d centong, taruh adonan bakwan dicentong dan ksh udang diatasnya (hati2 dgn centong yg panas)--Kemudian masukan centong yg berisi adonan bakwan ke minyak--Tunggu bbrp saat sampai bakwan terlepas dr centongnya, goreng bakwan sampai matang dan kecoklatan dgn api sedang--Bakwan siap disantap dgn cabe rawit bisa jg buat lauk makan siang--Selamat mencoba 👌--",19,/id/resep/4423304-bakwan-sayuran-n-udang
Gulai udang dengan daun ubi,Udang,"1 kg udang galah/peci yg sedang/besar--4 ikat daun ubi (daun singkong/pucuk perancis,)--1/2 kg kelapa tua, parut--2 lembar daun salam--1 lembar daun kunyit--1 batang serai--4 buah asam kandis--4 lembar daun jeruk--Bahan bumbu halus :--250 gr cabe keriting--4 butir bawang merah--1 butir bawang putih--Sejempol lengkuas/Laos--Sejempol jahe--Seruas kunyit--4 butir kemiri--Garam--","Bersihkan udang, buang ujung kepala dan kulit dikepala udang, gunting kaki2 dan punggungnya buang kotorannya. Cuci bersih, garami, sisihkan.--Siangi daun ubi/daun singkong, ambil yg muda2. Cuci. Rebus dengan sedikit garam hingga empuk. Sisihkan.--Haluskan semua bumbu. Peras kelapa hingga santan keluar kurang lebih jadi 1 kg santan.--Masukkan bumbu halus dan santan dalam kuali, tambahkan daun salam, daun kunyit, daun jeruk, serai, asam kandis dan garam, aduk rata didihkan.--Setelah mendidih masukkan udang, masak hingga udang 1/2 matang.--Daun ubi yg sudah empuk diperas, potong2 atau gunting. Masukkan dalam gulai.--Masak hingga udang dan daun ubi empuk, kuah mengental dan taminyak.--Sajikan dengan nasi panas... dijamin batambuah tambuah maambiak nasinyo 😂😂😂. Nan sabana bana lamak...     --",24,/id/resep/4439465-gulai-udang-dengan-daun-ubi
Udang Goreng Tepung Pedas,Udang,1/4 udang buang kulit dan kepala--1 sdm air jeruk--3 sdm Tepung serbaguna crispy hot spicy (saya pake merk sasa)--Tepung serbaguna crispy original (saya pake merk kruawang thip thailand)--1 telur (kocok lepas)--Minyak goreng--,"Rendam udang dengan air jeruk 10 menit, lalu cuci bersih. Tiriskan--Setelah ditiriskan cambur udang dengan bumbu hot spicy. Masukan ke adonan telur, angkat dan balur ke tepung crispy original--Goreng di minyak panas. Angkat dan sajikan--",38,/id/resep/4433528-udang-goreng-tepung-pedas
Udang kuah bumbu,Udang,1/2 kg udang--2 lembar daun jeruk--5 buah cabe rawit--1 buah cabe merah--5 siung bawang merah--3 siung bawang putih--3 buah kemiri--1 barang serai--1 ruas laos--1 ruas kunyit--Sedikit jahe--Secukupnya lada bubuk--Secukupnya garam--Secukupnya gula & penyedap rasa--,"Cuci bersih udang,memarkan serai,laos..--Ulek bahan bumbu seperti bawang merah,bawang putih,kemiri,kunyit,jahe,cabe tambahkan secukupnya lada bubuk,garam,gula & penyedap--Panaskan sedikit minyak d wajan masukkan ulekan bumbu beserta laos dan serai,tumis hingga harum--Tambahkan air secukupnya lalu masukkan udang.. Aduk sebentar hingga berubah warna udang menjadi agak merah--Tutup sebentar udang agar daging udang masak merata,kemudian buka tutup wajan biar kan kuah hingga menyusut sedikit,--Cek rasa,jika di rasa sudah pas udang kuah bumbu siap di hidangkan, selamat mencoba 😊--",29,/id/resep/4433393-udang-kuah-bumbu
Udang Teriyaki,Udang,250 gr udang yg besar--1 bawang bombay potong besar2--2 bawang putih geprek lalu cincang kasar--3 sdm saus teriyaki (aku pake saori)--1 sdm margarin untuk menumis--,"Cuci bersih udang, buang kepalanya & kupas kulitnya lalu potong2 sesuai selera yah. Bisa juga gak dikupas ya, tapi ini aku kupas udangnya soalnya buat sibocil, dia belum bisa ngupas udang, biar ga ribet makannya.--Tumis bawang bombay & bawang putih dengan margarin sampai wangi lalu masukkan udang. Aduk2 sampai udang berubah warna--Masukkan saus teriyaki, masak sampai udang matang & saus menyusut--Sajikan hangat2, pake nasi putih anget, dijamin si bocil lahap makannya 😄😄--",8,/id/resep/4432029-udang-teriyaki
Udang goreng Tepung saus Asam Manis,Udang,"250 gram udang, bersihkan,cuci, tiriskan--Bahan pelapis :--4 sdm tepung terigu--1 sdm tepung maizena--1 sdm tepung bumbu, instan--1/4 sdt masing2 garam dan merica--1 butir telur ayam, kocok asal--50 ml - 60 ml air matang--Saus asam manis :--2 siung bawang putih--1 buah bawang bombai kecil--1 buah tomat, rebus, buang kulitnya--1/2 buah buah nanas--1/2 batang wortel, potong bentuk korek api--2 sdm pasta tomat/sambal tomat--1 sdt kecap asin--1/2 sdt masing2 merica dan gula pasir--100 ml air matang--1 sdt tepung maizena+1 sdm air, untuk pengental kuah (saya skip)--","Campur tepung terigu, maizena, tepung bumbu, garam, merica, telur kocok dan air. Masukkan udang, aduk sampai terbalut tepung.--Goreng satu persatu hingga kedua sisinya berwarna kuning keemasan. Angkat, tiriskan minyaknya.--Potong-potong bawang putih, bombai, wortel, nanas dan tomat rebus.--Panaskan 2 sdm minyak goreng, tumis bawang putih dan bombai hingga harum. Masukkan wortel, tomat, nanas, pasta tomat, kecap asin, merica, gula pasir dan air aduk, biarkan mendidih. Tes rasa.--Angkat saus, pindahkan dalam wadah.--Hidangkan di piring dengan sausnya.--Penyajian, tata nasi putih, udang goreng tepung lalu siram dengan saus asam manis. Uwh sedap.--",81,/id/resep/4376017-udang-goreng-tepung-saus-asam-manis
Pare goreng telur udang,Udang,pare--Telur (tergantung selera)--Udang (buang kepalanya)--Minyak--Bumbunya :--Bawang merah (iris tipis)--Bawang putih--Cabe--Tomat--Terasi sedikit aja (tergantung selera)--Penyedap rasa (saya pake masako ayam)--Garam--,"Iris tipis pare, taruhin garam, remas-remas sampai keluar airnya (biar pahitnya hilang), abis itu cuci bersih parenya, ulangi jika masih berasa pahit--Cuci udang sampai bersih, buang kepalanya--Untuk bumbunya, cabe, terasi, bawang putih, tomat, taruhin garam kemudian di ulek hingga alus--Bawang merah yg sudah diiris tipis goreng hingga layu lalu masukan bumbu yang sudah dihaluskan tadi, tambahkan masako sesuai selera, goreng setengah matang--Lalu masukan udang yg sudah dibersihkan tadi, goreng hingga berubah warna jadi merah, setelah itu masukan parenya, oseng-oseng sebentar lalu masukkan telur kemudian di aduk hingga merata--Masak hingga matang, jangan lupa icip-icip rasanya, dan siap disajikan--",8,/id/resep/4426643-pare-goreng-telur-udang
Bakwan Sayur Udang,Udang,"5 sdm tepung terigu--1 sdm tepung beras--3-4 ekor udang, buang kepala, kupas badan, bersihkan, cincang--40 gram wortel, potong korek api tipis--40 gram kol, iris tipis--1 batang daun bawang, iris--1 batang seledri, iris--secukupnya Air--Minyak untuk menggoreng--Bumbu Halus :--2 butir bawang merah--2 siung bawang putih--secukupnya Garam--secukupnya Merica bubuk--Kaldu bubuk (optional)--","Campur semua bahan dan bumbu halus jadi satu, aduk rata.--Koreksi rasa dan pastikan adonan tidak terlalu encer.--Panaskan wajan, beri minyak secukupnya, ambil 1 sendok sayur adonan, lalu goreng sampai kuning keemasan. Aku kebetulan sengaja mencetak dengan sendok sayur.--Hidangkan dengan cabe, atau saus sambal, atau mayonnaise.--",36,/id/resep/4425559-bakwan-sayur-udang
Sempol Mini Ayam Udang,Udang,125 gr ayam + udang giling--2 sdm tepung sagu tani--1 sdm tepung terigu--1 butir telur kocok lepas--Bumbu halus :--1 siung bawang putih--5 butir lada utuh--Secukupnya garam--,"Campurkan ayam + udang giling bumbu halus dengan sagu dan terigu, uleni sampai bisa dibentuk. Bentuk bulat lalu tusuk ke tusuk sate,pipihkan adonan.--Rebus air bila sudah mendidih masukkan sempolan tunggu sampai mengambang, angkat tiriskan. Tunggun dingin, celupkan ke dalam telur, lalu goreng dengan minyak banyak. Sajikan 😊--",8,/id/resep/4423840-sempol-mini-ayam-udang
Sambal goreng udang,Udang,1/4 udang ukuran sedang (cuci bersih hilangkan kulitnya)--1/2 kg kentang bersihkan kupas potong kecil2--Pete (sy g pakai karna pak sayur ga bawa)--2 lmbr daun salam--2 lmbr daun jeruk--1 ruas lengkuas geprek--1 santan instan (sy pakai kara karna malas peras2)--1 sdt kecap manis--secukupnya Minyak goreng--secukupnya Air putih--Bumbu halus--5 siung bawang putih--5 siung bawang merah--2 bh cabe merah (klu mau warna nya lbh merah tambah 1bh lg)--10 bh cabe rawit--2 btr kemiri--1 ruas jahe--1 ruas kunyit--1 sdt ketumbar jinten--secukupnya Garam--secukupnya Gula--,"Siapkan penggorengan goreng kentang smp matang sisihkan--Tumis bumbu halus,daun salam, daum jeruk, lengkuas smpai harum masukan air putih, santan,aduk2 smp mendidih masukan udang aduk2 setelah itu masukan kentang goreng,masukan kecap, garam, gula, koreksi rasa tunggu smp kuah mengental,--Setelah matang siap di sajikan--",28,/id/resep/4422906-sambal-goreng-udang
Mie goreng udang polos tanpa sayur,Udang,"250 gr mie kuning basah--6 bh udang besar, bersihkan, buang kulitnya dan cincang kasar--2 bh bawang putih iris tipis--7 bh bawang merah iris tipis--Secukupnya garam dan kaldu bubuk--Secukupnya kecap--Sedikit minyak untuk menumis--Sedikit air--","Tumis bawang putih dan bawang merah sampai harum dan kecoklatan--Kecilkan api kompor, masukkan udang cincang, masak hingga udang matang (berubah warna)--Tambahkan sedikit air, lalu masukkan mie--Bumbui dengan garam, kaldu bubuk dan kecap sesuai selera--Masak hingga matang dan tekstur mie sedikit kering--Sajikan hangat 👍--",11,/id/resep/4422939-mie-goreng-udang-polos-tanpa-sayur
Minyak udang,Udang,250 gr kepala dan kulit udang--2 siung bawang putih--secukupnya Minyak goreng--,"Bawang putih memarkan, cincang halus.--Panaskan minyak.--Masukkan kepala dan kulit udang serta bawang putih.--Goreng hingga kecoklatan. Tunggu minyak agak dingin baru masukkan ke dalam toples kaca.--",9,/id/resep/4422512-minyak-udang
Cah Buncis Udang,Udang,"20 batang buncis,potong serong--250 gram udang,siangi--15 buah cabe rawit,potong serong--6 siung bawang merah,iris tipis--4 siung bawang putih,iris tipis--3 sdm minyak goreng--1 sdm saos tiram--1 sdt saos rajarasa--100 ml air--Secukupnya garam dan gula pasir--","Panaskan minyak goreng,tumis cabe dan duo bawang hingga harum--Masukkan udang,aduk rata.--Kemudian masukkan air,garam dan gula pasir,masak hingga udang berubah warna--Masukkan buncis,saos rajarasa dan saos tiram,aduk2. Masak hingga buncis setengah layu. Tes rasa,matikan api.--Sajikan😊--",18,/id/resep/4421010-cah-buncis-udang
